Frame, ARM-time(s), ARM-fps, FPGA-time(s), FPGA-fps
50, 8.001603127, 6.248747808, 0.8199687, 60.9779373
50, 7.993735313, 6.254898122, 0.835051775, 59.87652682
50, 7.99848032, 6.251187476, 0.826747656, 60.47794589
50, 8.005704403, 6.245546611, 0.829063416, 60.30901746
50, 7.993592978, 6.255009498, 0.826093435, 60.5258411
200, 31.97753382, 6.254391009, 3.326043844, 60.13149837
200, 31.97605824, 6.254679625, 3.326021433, 60.13190355
200, 31.97065854, 6.255736013, 3.321739435, 60.20941856
200, 31.96669817, 6.25651104, 3.325276613, 60.14537233
200, 32.00695395, 6.248642101, 3.327677488, 60.10197824
