Frame, ARM-time(s), ARM-fps, FPGA-time(s), FPGA-fps
50, 6.254891157, 7.993744215, 0.82506156, 60.60153865
50, 6.168808699, 8.105292682, 0.826088667, 60.52619047
50, 6.242358208, 8.009793468, 0.822906017, 60.76027997
50, 6.161360025, 8.11509144, 0.82921052, 60.29831847
50, 6.227425814, 8.028999702, 0.83224082, 60.07876423
200, 24.89130092, 8.034935605, 3.326535225, 60.12261602
200, 24.88935256, 8.035564586, 3.317910194, 60.27890699
200, 24.87290311, 8.040878828, 3.316281796, 60.30850583
200, 24.86412835, 8.043716521, 3.330517769, 60.050723
200, 24.78199816, 8.070374258, 3.327522278, 60.10478167
