Frame, ARM-time(s), ARM-fps, FPGA-time(s), FPGA-fps
50, 8.043478489, 6.21621604, 0.830551624, 60.20095384
50, 8.045930862, 6.214321358, 0.824851274, 60.61698823
50, 8.042553186, 6.216931221, 0.825832129, 60.54499247
50, 8.034646034, 6.223049502, 0.820035696, 60.9729555
50, 8.040353775, 6.218631841, 0.82484889, 60.61716344
200, 32.23359871, 6.204705897, 3.323871374, 60.1708001
200, 32.25315762, 6.20094325, 3.324242353, 60.16408515
200, 32.30215144, 6.191538058, 3.328672647, 60.08400981
200, 32.21903443, 6.207510669, 3.334614992, 59.97693901
200, 32.23735976, 6.20398201, 3.332532644, 60.01441587
