Frame, ARM-time(s), ARM-fps, FPGA-time(s), FPGA-fps
50, 6.6412673, 7.52868357, 0.824651003, 60.63170944
50, 6.666188955, 7.500537464, 0.824263334, 60.66022583
50, 6.635772943, 7.534917247, 0.819379091, 61.02181583
50, 6.6434834, 7.526172188, 0.822708607, 60.77485952
50, 6.645629168, 7.523742108, 0.828567982, 60.34507862
200, 26.39209056, 7.578027953, 3.319519758, 60.24967904
200, 26.52648592, 7.539634183, 3.320359707, 60.23443773
200, 26.5723536, 7.526619697, 3.328252077, 60.09160225
200, 26.48957157, 7.550140985, 3.328671694, 60.08402702
200, 26.50646019, 7.545330405, 3.323920965, 60.16990238
