Frame, ARM-time(s), ARM-fps, FPGA-time(s), FPGA-fps
50, 6.715774775, 7.445157361, 0.81825161, 61.10589872
50, 6.589876413, 7.587395706, 0.825090408, 60.59941977
50, 6.717816114, 7.442895005, 0.824631214, 60.63316443
50, 6.746128082, 7.411658864, 0.82959795, 60.27015858
50, 6.713373661, 7.447820206, 0.820227385, 60.95870601
200, 26.9272964, 7.42740738, 3.325917721, 60.13377864
200, 26.74835086, 7.477096478, 3.325239897, 60.14603644
200, 26.82612038, 7.45542021, 3.324659824, 60.15653046
200, 26.8522346, 7.448169695, 3.315615892, 60.3206181
200, 26.85582018, 7.447175274, 3.328870773, 60.08043376
